City,Month,PM2.5,PM10,NO,NO2,NOx,CO,O3,AQI,AQI_Bucket
Ahmedabad,February,66.52,,6.34,23.8,28.24,6.34,53.14,388,Very Poor
Ahmedabad,February,65.04,,14.19,30.1,44.21,14.19,31.88,288,Poor
Ahmedabad,February,80.61,,15.96,21.04,35.67,15.96,36.2,479,Severe
Ahmedabad,February,100.79,,16.24,25.93,41.91,16.24,37.43,592,Severe
Ahmedabad,February,118.72,,12.56,32.01,42.56,12.56,38.8,411,Severe
Ahmedabad,February,52.99,,2.23,10.45,10.39,2.23,67.25,292,Poor
Ahmedabad,March,60.78,,9.07,18.21,27.34,9.07,34.75,189,Moderate
Ahmedabad,March,91.83,,12.99,28.71,40.76,12.99,38.46,408,Severe
Ahmedabad,March,93.88,,18.21,29.38,47.01,18.21,46.79,383,Very Poor
Ahmedabad,March,71.56,,3.51,16.83,20.32,3.51,57.16,190,Moderate
Ahmedabad,March,119.8,,4.13,24.07,27.9,4.13,50.49,233,Poor
Ahmedabad,March,106.71,,5.39,25.59,30.51,5.39,60.17,297,Poor
Ahmedabad,March,118.49,,4.11,28.94,31.83,4.11,53.61,330,Very Poor
Ahmedabad,March,97.34,,3.67,21.58,24.62,3.67,45.69,244,Poor
Ahmedabad,March,83.92,,6.42,25.03,30.8,6.42,34.94,234,Poor
Ahmedabad,March,49.51,,3.1,14.16,16.15,3.1,37.95,219,Poor
Ahmedabad,March,30.76,,2.72,14.14,16.98,2.72,54.78,118,Moderate
Ahmedabad,March,50.29,,5.34,29.84,33.28,5.34,45.44,231,Poor
Ahmedabad,March,94.1,,22.14,36.53,57.49,22.14,46.77,720,Severe
Ahmedabad,March,111.89,,22.25,43.29,64.53,22.25,50.57,570,Severe
Ahmedabad,March,165.07,,23.83,34.48,57.71,23.83,43.79,585,Severe
Ahmedabad,March,147.38,,6.4,35.82,40.22,6.4,17.94,437,Severe
Ahmedabad,March,133.37,,3.88,17.99,21.02,3.88,39.66,339,Very Poor
Ahmedabad,March,133.3,,6.52,20,26.18,6.52,59.03,339,Very Poor
Ahmedabad,April,96.04,,3.8,20.07,23.46,3.8,46.61,324,Very Poor
Ahmedabad,April,53.07,,4.17,13.82,17.45,4.17,21.76,169,Moderate
Ahmedabad,April,63.11,,5.63,15.5,18.49,5.63,4.72,220,Poor
Ahmedabad,April,120.96,,4.23,20.86,25.02,4.23,35.66,303,Very Poor
Ahmedabad,April,144.36,,15.82,30.69,46.1,15.82,27.34,378,Very Poor
Ahmedabad,April,85.03,,3.3,26.7,27.41,3.3,35.89,415,Severe
Ahmedabad,April,58.37,,5.74,21.71,27.69,5.74,43.92,244,Poor
Ahmedabad,April,95.37,,18.01,26.23,44.34,18.01,41.64,315,Very Poor
Ahmedabad,April,71.22,,16.73,21.32,37.58,16.73,28.39,358,Very Poor
Ahmedabad,April,97.87,,6.3,17.96,23.45,6.3,34.16,357,Very Poor
Ahmedabad,April,80.9,,5.7,18.62,24.23,5.7,22.8,214,Poor
Ahmedabad,May,106.15,,13.12,23.02,35.05,13.12,81.6,503,Severe
Ahmedabad,May,86.31,,2.69,10.5,10.9,2.69,90.54,308,Very Poor
Ahmedabad,May,83.99,,2.73,0.08,2.75,2.73,69.57,227,Poor
Ahmedabad,May,65.11,,3.14,4.58,6.75,3.14,32.26,120,Moderate
Ahmedabad,May,100.92,,20.42,18.9,37.83,20.42,22.84,481,Severe
Ahmedabad,May,97.48,,5.31,30.02,33.62,5.31,16.26,352,Very Poor
Ahmedabad,May,100.57,,7.56,18.79,24.33,7.56,38.83,411,Severe
Ahmedabad,May,130.34,,7.14,17.43,23.72,7.14,29.05,212,Poor
Ahmedabad,May,53.24,,8.05,15.86,23.34,8.05,21.58,280,Poor
Ahmedabad,May,83.69,,10.89,17.18,27.15,10.89,35.61,569,Severe
Ahmedabad,May,38.88,,2.18,16.28,17.74,2.18,12.47,128,Moderate
Ahmedabad,May,46.89,,2.96,16.17,18.49,2.96,10.74,129,Moderate
Ahmedabad,May,70.96,,4.12,15.47,19.28,4.12,16.01,152,Moderate
Ahmedabad,May,53.66,,4.23,14.43,18.06,4.23,45.64,176,Moderate
Ahmedabad,May,45.49,,4.26,13.73,17.1,4.26,71.85,167,Moderate
Ahmedabad,May,60.86,,5.27,16.61,21.42,5.27,41.19,106,Moderate
Ahmedabad,May,51.93,,13.71,17.87,31.64,13.71,12.88,231,Poor
Ahmedabad,May,77.87,,6.67,17.12,23,6.67,16.67,327,Very Poor
Ahmedabad,May,57.59,,5.6,15.47,20.42,5.6,25.51,174,Moderate
Ahmedabad,June,45.29,,7.25,12.74,19.66,7.25,6.32,179,Moderate
Ahmedabad,June,103.78,,6.36,13.9,19.86,6.36,15.27,211,Poor
Ahmedabad,June,38.11,,7.41,11.62,19.03,7.41,6.69,184,Moderate
Ahmedabad,June,45.5,,8.56,15.59,24.15,8.56,3.82,220,Poor
Ahmedabad,June,36.98,,8.21,11.52,19.74,8.21,5.17,215,Poor
Ahmedabad,June,43.58,,8.26,13.33,21.58,8.26,7.56,226,Poor
Ahmedabad,June,45.49,,9.63,14.91,24.53,9.63,2.94,251,Poor
Ahmedabad,June,38.06,,8.67,18.57,27.25,8.67,4.63,216,Poor
Ahmedabad,June,45.41,,9.35,20.55,29.9,9.35,4.5,237,Poor
Ahmedabad,June,37.71,,8.54,16.26,24.8,8.54,4.6,198,Moderate
Ahmedabad,June,32.37,,7.53,14.36,21.89,7.53,12.17,195,Moderate
Ahmedabad,June,34.74,,7.59,13.51,21.11,7.59,12.22,187,Moderate
Ahmedabad,June,32.56,,7.34,13.91,21.25,7.34,11.85,181,Moderate
Ahmedabad,June,29.28,,7.55,11.68,19.23,7.55,12.64,179,Moderate
Ahmedabad,June,20.46,,7.15,10.61,17.76,7.15,12.7,188,Moderate
Ahmedabad,June,26.07,,7.99,11.07,19.06,7.99,10.57,190,Moderate
Ahmedabad,June,21.43,,7.45,11.16,18.62,7.45,7.38,185,Moderate
Ahmedabad,June,11.91,,7.34,10.1,17.44,7.34,5.47,189,Moderate
Ahmedabad,June,57.75,,8.68,9.68,18.36,8.68,3.06,196,Moderate
Ahmedabad,June,66.39,,8.58,12.79,21.36,8.58,4.96,201,Poor
Ahmedabad,June,62.61,,9.15,9.83,18.98,9.15,6.44,231,Poor
Ahmedabad,June,47.5,,8.07,9.53,17.59,8.07,7.28,196,Moderate
Ahmedabad,June,111.8,,9.23,11.51,20.74,9.23,5.99,220,Poor
Ahmedabad,June,30,,8.87,13.59,22.64,8.87,6.31,244,Poor
Ahmedabad,July,4.66,,9.01,10.9,20.36,9.01,6.38,223,Poor
Ahmedabad,July,48.72,,9.56,11.94,21.5,9.56,6.61,230,Poor
Ahmedabad,July,49.7,,9.43,9.81,19.23,9.43,6.42,243,Poor
Ahmedabad,July,48.1,,8.03,9.53,17.57,8.03,7.6,215,Poor
Ahmedabad,July,47.43,,8.11,9.45,17.56,8.11,7.08,199,Moderate
Ahmedabad,July,51.74,,8.91,12.38,21.28,8.91,5.78,200,Moderate
Ahmedabad,July,42.68,,9.74,11.08,20.82,9.74,4.44,226,Poor
Ahmedabad,July,38.45,,10.55,7.8,18.35,10.55,3.24,241,Poor
Ahmedabad,July,46.69,,11.48,0.17,11.64,11.48,5.76,222,Poor
Ahmedabad,July,55.27,,11.55,0.12,11.66,11.55,6.55,223,Poor
Ahmedabad,July,149.03,,11.49,0.16,11.65,11.49,7.27,248,Poor
Ahmedabad,July,86.57,,11.47,0.17,11.64,11.47,6.53,300,Poor
Ahmedabad,July,111.77,,11.3,0.24,11.53,11.3,4.67,232,Poor
Ahmedabad,July,151.4,,10.8,0.36,11.16,10.8,5.46,330,Very Poor
Ahmedabad,July,51.35,,8,2.69,10.67,8,5.76,223,Poor
Ahmedabad,July,65.37,,0.64,8.07,8.57,0.64,8.02,105,Moderate
Ahmedabad,July,56.28,,0.6,8.02,8.51,0.6,6.2,101,Moderate
Ahmedabad,July,48.17,,0.65,8,8.55,0.65,7.97,93,Satisfactory
Ahmedabad,July,33.56,,0.72,7.89,8.56,0.72,10.18,67,Satisfactory
Ahmedabad,July,31.3,,0.55,8.1,8.49,0.55,7.44,60,Satisfactory
Ahmedabad,July,57.11,,0.55,8.28,8.42,0.55,2.6,90,Satisfactory
Ahmedabad,July,34.72,,0.1,9.73,7.88,0.1,4.87,78,Satisfactory
Ahmedabad,July,29.22,,0.06,9.57,7.77,0.06,5.08,48,Good
Ahmedabad,July,29.79,,0.14,8.64,7.97,0.14,5.34,53,Satisfactory
Ahmedabad,July,59.95,,0.18,8.78,8.16,0.18,2.79,91,Satisfactory
Ahmedabad,July,19.2,,1.52,9.45,9.74,1.52,4.61,70,Satisfactory
Ahmedabad,July,19.52,,5.89,11.26,17.15,5.89,4.4,157,Moderate
Ahmedabad,July,35.16,,5.75,10.89,16.64,5.75,3.67,158,Moderate
Ahmedabad,July,33.03,,7.01,10.58,17.58,7.01,3.53,169,Moderate
Ahmedabad,July,40.95,,6.92,10.47,17.39,6.92,3.38,174,Moderate
Ahmedabad,August,40.29,,6.74,10.52,17.26,6.74,3.57,173,Moderate
Ahmedabad,August,41.16,,6.91,10.51,17.42,6.91,3.69,172,Moderate
Ahmedabad,August,36.12,,7.21,11.56,17.07,7.21,6.08,190,Moderate
Ahmedabad,August,28.51,,6.69,20.52,27.21,6.69,7.65,171,Moderate
Ahmedabad,August,31.59,,6.99,20.42,27.41,6.99,7.9,168,Moderate
Ahmedabad,August,42.56,,7.17,20.4,27.57,7.17,9.86,172,Moderate
Ahmedabad,August,48.12,,7.14,20.3,27.45,7.14,12.78,173,Moderate
Ahmedabad,August,37.09,,7.22,20.21,27.42,7.22,7.94,175,Moderate
Ahmedabad,August,33.4,,7.4,20.09,27.5,7.4,8.39,179,Moderate
Ahmedabad,August,38.64,,7.35,20.21,27.55,7.35,6.28,174,Moderate
Ahmedabad,August,40.49,,7.48,20.23,27.71,7.48,21.51,176,Moderate
Ahmedabad,August,41.37,,7.47,20.2,27.68,7.47,19.8,179,Moderate
Ahmedabad,August,44.56,,7.49,20.06,27.55,7.49,22.77,175,Moderate
Ahmedabad,August,65.68,,7.57,19.94,27.51,7.57,30.21,177,Moderate
Ahmedabad,August,39.17,,7.35,20.24,27.58,7.35,26.64,174,Moderate
Ahmedabad,August,34,,7.41,20.1,27.51,7.41,17.17,179,Moderate
Ahmedabad,August,36.38,,7.31,20.14,27.45,7.31,13.35,177,Moderate
Ahmedabad,August,38.35,,7.41,20.16,27.57,7.41,18.59,180,Moderate
Ahmedabad,August,38.5,,12.38,19.67,30.02,12.38,16.33,274,Poor
Ahmedabad,August,39.61,,17.31,14.84,32.15,17.31,5.38,310,Very Poor
Ahmedabad,August,61.79,,17.24,14.82,32.06,17.24,8.06,303,Very Poor
Ahmedabad,August,43.22,,17.17,14.82,31.99,17.17,37.87,302,Very Poor
Ahmedabad,August,33.41,,17.12,14.86,31.98,17.12,86.83,302,Very Poor
Ahmedabad,August,36.9,,17.08,14.85,31.93,17.08,54.01,302,Very Poor
Ahmedabad,September,3.04,,16.31,21.5,37.81,16.31,30.05,327,Very Poor
Ahmedabad,October,127.94,,11.14,28.38,39.52,11.14,15.17,466,Severe
Ahmedabad,October,87.18,,7.83,21.51,29.34,7.83,23.17,230,Poor
Ahmedabad,October,99.73,,20.16,30.23,50.39,20.16,20.91,309,Very Poor
Ahmedabad,October,84.15,,15.83,32.1,47.93,15.83,23.12,519,Severe
Ahmedabad,October,92.12,,18.21,32.5,50.71,18.21,29.97,397,Very Poor
Ahmedabad,October,150.27,,15.9,34.86,50.77,15.9,31.96,653,Severe
Ahmedabad,October,91.41,,5.19,23.45,28.63,5.19,6.25,227,Poor
Ahmedabad,October,95.9,,10.38,33.63,44.01,10.38,27.34,316,Very Poor
Ahmedabad,October,137.87,,20.2,32.98,53.18,20.2,17.41,536,Severe
Ahmedabad,October,90.71,,18.12,25.73,43.85,18.12,26.02,370,Very Poor
Ahmedabad,October,108.68,,17.03,32.87,49.9,17.03,19.56,551,Severe
Ahmedabad,October,98.79,,17.72,31.2,48.92,17.72,30.19,393,Very Poor
Ahmedabad,October,145.75,,20.61,34.71,55.33,20.61,95.94,671,Severe
Ahmedabad,October,170.52,,15.49,35.22,48.6,15.49,53.98,471,Severe
Ahmedabad,October,64.66,,4.79,23.83,28.61,4.79,24.76,213,Poor
Ahmedabad,October,78.14,,10.58,28.93,39.51,10.58,35.56,297,Poor
Ahmedabad,October,89.64,,5.42,25.75,31.18,5.42,43.04,270,Poor
Ahmedabad,October,51.72,,1.89,21.15,23.04,1.89,66.58,188,Moderate
Ahmedabad,October,54.59,,2.31,18.33,20.64,2.31,42.43,114,Moderate
Ahmedabad,October,46.5,,1.22,12.1,13.32,1.22,61.56,143,Moderate
Ahmedabad,November,192.35,,9.39,29.04,38.43,9.39,33.21,381,Very Poor
Ahmedabad,November,127.64,,6.74,31.91,38.64,6.74,47.33,355,Very Poor
Ahmedabad,July,36.54,,18.76,20.32,33.01,18.76,11.46,336,Very Poor
Ahmedabad,August,50.65,,10.63,13,19.88,10.63,6.21,494,Severe
Ahmedabad,August,38.06,,6.96,22.63,29.58,6.96,3.47,257,Poor
Ahmedabad,August,20.19,,10.41,18.13,28.54,10.41,4.9,300,Poor
Ahmedabad,August,10.45,,12.59,17.81,30.41,12.59,5.87,309,Very Poor
Ahmedabad,August,29.87,,13.53,14.69,28.22,13.53,9.6,316,Very Poor
Ahmedabad,August,60.18,,8.64,13.25,21.89,8.64,13.19,296,Poor
Ahmedabad,August,85.1,,8.14,12.91,21.04,8.14,12.45,240,Poor
Ahmedabad,August,55.55,,8.38,13.45,21.83,8.38,11.84,220,Poor
Ahmedabad,August,170.22,,15.47,17.88,33.33,15.47,10.05,460,Severe
Ahmedabad,August,35.05,,7.66,16.07,23.73,7.66,9.81,341,Very Poor
Ahmedabad,August,37.68,,6.39,9.49,15.88,6.39,13.7,216,Poor
Ahmedabad,August,32.78,,6.08,12.1,20.94,6.08,13.13,174,Moderate
Ahmedabad,August,53.5,,12,14.19,26.57,12,5.48,252,Poor
Ahmedabad,August,48.24,,10.91,15.52,26.43,10.91,5.98,283,Poor
Ahmedabad,August,63.27,,8.82,13.23,25.6,8.82,8.68,282,Poor
Ahmedabad,August,40.43,,7.42,10.29,23.27,7.42,5,189,Moderate
Ahmedabad,August,31.15,,8.91,9.94,18.86,8.91,12.97,204,Poor
Ahmedabad,August,33.76,,9.15,12.22,21.37,9.15,8.36,207,Poor
Ahmedabad,August,35.95,,10.05,9.75,19.8,10.05,8.61,218,Poor
Ahmedabad,August,58.07,,10.51,8.67,19.18,10.51,19.87,243,Poor
Ahmedabad,August,46.04,,9.72,8.75,18.46,9.72,10.35,219,Poor
Ahmedabad,August,52.27,,10.79,9.23,20.02,10.79,9.14,247,Poor
Ahmedabad,August,46.68,,10.08,9.3,19.73,10.08,15.97,235,Poor
Ahmedabad,August,44.59,,10.47,7.39,17.86,10.47,11.2,234,Poor
Ahmedabad,September,30.81,,9.36,7.86,17.22,9.36,15.72,217,Poor
Ahmedabad,September,47.67,,9.63,8.39,18.02,9.63,18.89,222,Poor
Ahmedabad,September,35.69,,9.38,8.14,18.2,9.38,14.63,241,Poor
Ahmedabad,September,36.44,,9.59,7.07,16.66,9.59,14.99,225,Poor
Ahmedabad,September,33.83,,10.14,7.82,18.27,10.14,13.9,241,Poor
Ahmedabad,September,34.23,,10.17,7.14,17.3,10.17,13.79,237,Poor
Ahmedabad,September,52.15,,10.7,7.15,17.85,10.7,14.67,251,Poor
Ahmedabad,September,35.99,,9.91,8.65,18.56,9.91,18.16,220,Poor
Ahmedabad,September,37.93,,9.75,9.2,18.95,9.75,15.42,221,Poor
Ahmedabad,September,31.94,,9.5,7.84,17.34,9.5,14.27,226,Poor
Ahmedabad,September,18.04,,7.3,7.02,17.19,7.3,19,208,Poor
Ahmedabad,September,27.9,,9.52,9.55,21.06,9.52,21.74,190,Moderate
Ahmedabad,September,36.51,,10.07,10.68,21.06,10.07,22.56,250,Poor
Ahmedabad,September,55.71,,11.17,12.86,24.03,11.17,21.14,280,Poor
Ahmedabad,September,57.01,,13.68,11.99,25.67,13.68,20.81,306,Very Poor
Ahmedabad,September,53.94,,10.01,12.54,22.55,10.01,24.79,249,Poor
Ahmedabad,September,49.34,,9.75,8.67,18.43,9.75,26.39,213,Poor
Ahmedabad,September,39.43,,12.67,10.1,22.77,12.67,11.63,268,Poor
Ahmedabad,September,42.33,,11.31,9.31,20.62,11.31,15.38,267,Poor
Ahmedabad,September,26.75,,9.8,6.77,16.57,9.8,17.5,216,Poor
Ahmedabad,September,34.16,,9.66,5.46,15.12,9.66,17.44,212,Poor
Ahmedabad,September,30.07,,9.82,5.73,15.55,9.82,17.65,214,Poor
Ahmedabad,September,25.54,,9.5,5.56,15.63,9.5,16.47,222,Poor
Ahmedabad,September,38.47,,10.63,5.7,16.34,10.63,17.34,216,Poor
Ahmedabad,September,42.55,,10.36,6.59,16.95,10.36,20.24,236,Poor
Ahmedabad,September,38.1,,10.2,7.04,17.24,10.2,16.83,225,Poor
Ahmedabad,October,27.22,,12.02,6.34,18.36,12.02,12.94,231,Poor
Ahmedabad,October,41.81,,10.75,9.77,20.52,10.75,22.44,298,Poor
Ahmedabad,October,75.03,,11.23,9.47,20.7,11.23,41.28,267,Poor
Ahmedabad,October,124.97,,13.2,9.72,22.91,13.2,26.4,313,Very Poor
Ahmedabad,October,87.09,,10.15,13.98,24.12,10.15,29.43,315,Very Poor
Ahmedabad,October,83.57,,7.8,10.61,18.41,7.8,30.68,213,Poor
Ahmedabad,October,75.41,,12.23,11.07,23.3,12.23,37.64,263,Poor
Ahmedabad,October,106.86,,9.38,10.22,19.6,9.38,36.65,355,Very Poor
Ahmedabad,October,96.53,,9.03,10.8,19.83,9.03,33.14,362,Very Poor
Ahmedabad,October,76.96,,6.95,9.04,16,6.95,41.7,236,Poor
Ahmedabad,October,73.05,,7.04,8.37,15.4,7.04,40.57,192,Moderate
Ahmedabad,October,72.52,,7.31,9.14,16.45,7.31,32.65,230,Poor
Ahmedabad,October,109.22,,11.05,13.21,24.26,11.05,33.06,278,Poor
Ahmedabad,October,122.63,,18.84,16.36,35.2,18.84,31.59,390,Very Poor
Ahmedabad,October,214.36,,19.66,18.38,38.03,19.66,33.34,509,Severe
Ahmedabad,November,230.76,,12.95,13.35,26.31,12.95,50.18,420,Severe
Ahmedabad,November,203.3,,11.74,14.79,26.54,11.74,47.43,417,Severe
Ahmedabad,November,152.03,,10.97,12.7,23.67,10.97,56.43,390,Very Poor
Ahmedabad,November,176.02,,7.51,12.78,20.66,7.51,35,361,Very Poor
Ahmedabad,October,61.72,,,,36.6,,9.73,105,Moderate
Ahmedabad,October,126.57,,,,46.52,,27.85,319,Very Poor
Ahmedabad,October,59.26,,,,28.25,,26.22,146,Moderate
Ahmedabad,October,51.72,,,,34.62,,24.71,80,Satisfactory
Ahmedabad,October,67.4,,,,37.53,,19.89,102,Moderate
Ahmedabad,November,96.65,,24.81,67.28,66.67,24.81,33.84,550,Severe
Ahmedabad,December,81.38,,5.9,55.07,31.27,5.9,39.29,187,Moderate
Ahmedabad,December,56.54,,5.46,32.13,19.75,5.46,66.39,149,Moderate
Ahmedabad,December,74.08,,7.19,57.73,33.53,7.19,40.27,215,Poor
Ahmedabad,February,65.35,,6.17,104.31,53.74,6.17,64.67,172,Moderate
Ahmedabad,March,98.49,,17.14,87.62,55.53,17.14,,301,Very Poor
Ahmedabad,March,160.68,,14.93,97.06,58.49,14.93,59.78,549,Severe
Ahmedabad,March,102.05,,15.35,81.15,51.04,15.35,47.29,414,Severe
Ahmedabad,March,100.33,,9.58,92.44,52.24,9.58,60.16,484,Severe
Ahmedabad,April,62.83,,21.11,68.69,49.24,21.11,71.3,265,Poor
Ahmedabad,April,160.43,,19.45,65.53,46.48,19.45,55.47,657,Severe
Ahmedabad,April,94.55,,20.11,58.27,43.43,20.11,57.33,403,Severe
Ahmedabad,April,104.21,,22.52,72.51,52.07,22.52,39.14,442,Severe
Ahmedabad,April,84.47,,23.17,61.41,47.25,23.17,45.89,561,Severe
Ahmedabad,April,71.3,,7.93,35.8,23.38,7.93,34.83,274,Poor
Ahmedabad,April,37.9,,4.96,31.24,18.93,4.96,34.76,210,Poor
Ahmedabad,April,78.18,,20.3,71.56,50.06,20.3,10.44,478,Severe
Ahmedabad,April,74.48,,9.84,51.25,32.34,9.84,37.97,525,Severe
Ahmedabad,April,100.39,,10.39,42.83,28.5,10.39,30.16,650,Severe
Ahmedabad,April,39.97,,7.15,32.39,19.83,7.15,36.08,219,Poor
Ahmedabad,April,53.61,,16.93,37.01,19.98,16.93,16.92,328,Very Poor
Ahmedabad,May,46.17,,10.7,30.48,22.85,10.7,27.9,286,Poor
Ahmedabad,May,41.81,,8.66,27.69,19.91,8.66,,249,Poor
Ahmedabad,May,55.09,,15.63,33.93,28.21,15.63,,376,Very Poor
Ahmedabad,May,41.04,,7.56,28.36,19.48,7.56,,228,Poor
Ahmedabad,May,49.71,,9.59,28.6,21.11,9.59,34.54,266,Poor
Ahmedabad,May,44.75,,10.25,28.9,21.64,10.25,28.02,257,Poor
Ahmedabad,May,46.06,,7.07,27.6,18.74,7.07,32.54,232,Poor
Ahmedabad,May,53.39,,6.91,30.28,19.9,6.91,31.93,254,Poor
Ahmedabad,May,50.7,,8.58,33.44,22.69,8.58,59.94,256,Poor
Ahmedabad,May,69.87,,6.96,34.82,22.14,6.96,40.76,217,Poor
Ahmedabad,May,61.53,,10.41,42.53,28.52,10.41,48.3,291,Poor
Ahmedabad,May,67.03,,10.37,38.68,26.61,10.37,32.34,314,Very Poor
Ahmedabad,May,43.37,,20.03,35.01,32.02,20.03,40.07,355,Very Poor
Ahmedabad,June,78.16,,18.21,55.31,40.57,18.21,15.87,355,Very Poor
Ahmedabad,June,83.27,,15.82,50.38,36.38,15.82,18.23,338,Very Poor
Ahmedabad,June,63.79,,14.35,48.44,34.34,14.35,,351,Very Poor
Ahmedabad,June,50.27,,9.53,46.15,29.62,9.53,,280,Poor
Ahmedabad,June,51.54,,13.48,51.04,34.95,13.48,6.9,297,Poor
Ahmedabad,June,54.35,,11.58,50.45,33.25,11.58,14.85,319,Very Poor
Ahmedabad,June,53.59,,10.18,45.53,29.81,10.18,17.93,247,Poor
Ahmedabad,June,55.77,,13.06,45.87,32.12,13.06,13.14,321,Very Poor
Ahmedabad,June,63.58,,13.97,43.32,31.56,13.97,5.08,319,Very Poor
Ahmedabad,June,103.08,,16.31,59.19,39.35,16.31,,345,Very Poor
Ahmedabad,June,78.25,,24.41,35.12,35.35,24.41,14.76,492,Severe
Ahmedabad,June,62.72,,21.89,50.49,40.97,21.89,0.72,400,Very Poor
Ahmedabad,July,48.12,,19.06,61.63,44.28,19.06,0.91,361,Very Poor
Ahmedabad,July,36.8,,21.07,53.33,41.74,21.07,1.16,385,Very Poor
Ahmedabad,July,71.94,,17.35,98.32,60.91,17.35,2.03,365,Very Poor
Ahmedabad,July,55.91,,19.87,66.69,47.36,19.87,1.8,377,Very Poor
Ahmedabad,July,72.06,,24.72,59.1,47.28,24.72,1.26,442,Severe
Ahmedabad,July,33.38,,20.68,62.15,45.75,20.68,4.35,422,Severe
Ahmedabad,July,33.51,,17.84,40.85,33.24,17.84,7.95,347,Very Poor
Ahmedabad,July,37.76,,23.91,45.39,39.98,23.91,,428,Severe
Ahmedabad,August,28.94,,21.18,53.02,41.66,21.18,16.38,431,Severe
Ahmedabad,August,43.54,,12.25,39.05,28.19,12.25,22.45,342,Very Poor
Ahmedabad,August,28.66,,18.31,55.15,40.57,18.31,15.68,311,Very Poor
Ahmedabad,September,19.66,,24.39,65.16,49.98,24.39,26.6,518,Severe
Ahmedabad,September,23.65,,22.79,74.6,53.4,22.79,,546,Severe
Ahmedabad,September,25.87,,23.11,100.26,66.16,23.11,,876,Severe
Ahmedabad,September,21.12,,22.46,66.12,49.02,22.46,,410,Severe
Ahmedabad,October,73.89,,4.5,53.74,28.34,4.5,59.52,214,Poor
Ahmedabad,October,82.52,,24.13,69.94,30.08,24.13,64.07,556,Severe
Ahmedabad,November,78.48,,16.91,84.74,29.58,16.91,56.39,413,Severe
Ahmedabad,November,63.75,,11.7,77.73,25.01,11.7,59.28,415,Severe
Ahmedabad,November,68.3,,8.69,73.99,22.45,8.69,72.2,228,Poor
Ahmedabad,December,75.42,,11.02,75.02,23.99,11.02,54.91,423,Severe
Ahmedabad,December,56.71,,7.45,60.4,18.52,7.45,61.74,275,Poor
Ahmedabad,December,59.4,,7.23,47.87,15.42,7.23,71.46,191,Moderate
Ahmedabad,December,54.75,,6.99,43.7,14.29,6.99,76.37,172,Moderate
Ahmedabad,December,62.18,,7.67,55.29,17.43,7.67,73.67,198,Moderate
Ahmedabad,December,72.1,,11.61,94.32,28.91,11.61,63.46,355,Very Poor
Ahmedabad,December,79.15,,12.74,92.85,29.19,12.74,70.54,370,Very Poor
Ahmedabad,December,94.8,,23.18,79.56,31.84,23.18,63.95,448,Severe
Ahmedabad,December,68.29,,16.94,82.74,29.12,16.94,51.76,379,Very Poor
Ahmedabad,December,67.75,,17.63,81.78,29.28,17.63,63.34,396,Very Poor
Ahmedabad,January,74.62,,8.16,73.22,21.96,8.16,74.83,236,Poor
Ahmedabad,January,89.72,,13.83,80.78,26.92,13.83,73.64,313,Very Poor
Ahmedabad,January,75.49,,9.04,61.8,19.74,9.04,80.26,407,Severe
Ahmedabad,January,66.97,,6.96,37.35,12.77,6.96,89.73,172,Moderate
Ahmedabad,January,52.92,,11.03,63.81,21.32,11.03,43.54,302,Very Poor
Ahmedabad,January,47.26,,16.22,64.71,24.43,16.22,20,260,Poor
Ahmedabad,January,52.79,,18.13,59.21,24.19,18.13,,430,Severe
Ahmedabad,January,63.68,,22.56,67.41,28.61,22.56,53.12,477,Severe
Ahmedabad,January,73.37,,16.1,77.92,27.51,16.1,39.08,491,Severe
Ahmedabad,February,54.77,,11.01,77.02,24.46,11.01,53.55,346,Very Poor
Ahmedabad,February,50.15,,9.02,67.96,21.2,9.02,47.5,254,Poor
Ahmedabad,February,94.1,,10.62,44.91,16.6,10.62,55.84,308,Very Poor
Ahmedabad,February,105.03,,10.13,56.09,18.99,10.13,43.09,290,Poor
Ahmedabad,February,46.5,,15.39,79.42,27.47,15.39,41.7,340,Very Poor
Ahmedabad,February,41.76,,20.48,77.13,29.76,20.48,44.7,492,Severe
Ahmedabad,February,46.91,,14.6,86.07,28.61,14.6,51.3,343,Very Poor
Ahmedabad,February,62.6,,19.59,65.12,26.31,19.59,57.79,755,Severe
Ahmedabad,February,72.53,,20.61,102.5,35.87,20.61,46.37,489,Severe
Ahmedabad,February,46.48,,17.55,60.72,24.22,17.55,39.32,502,Severe
Ahmedabad,February,37.26,,8.83,37.95,13.95,8.83,29.13,826,Severe
Ahmedabad,February,37.96,,16.2,48.69,20.61,16.2,15.47,403,Severe
Ahmedabad,February,34.1,,12.42,67.07,22.88,12.42,59.67,253,Poor
Ahmedabad,February,64.44,,13.19,45.6,18.2,13.19,33.88,467,Severe
Ahmedabad,February,51.5,,12.26,52.88,19.41,12.26,38.45,296,Poor
Ahmedabad,February,33.38,,14.07,73.92,25.42,14.07,48.39,307,Very Poor
Ahmedabad,March,42.11,,14.18,84.67,28.04,14.18,47.63,350,Very Poor
Ahmedabad,March,46.35,,9.25,69.51,21.69,9.25,69.79,318,Very Poor
Ahmedabad,March,61.32,,15.88,48.4,20.36,15.88,21.17,338,Very Poor
Ahmedabad,March,48.84,,9.85,42.96,15.71,9.85,51.34,276,Poor
Ahmedabad,March,39.23,,12.69,67.29,23.08,12.69,59.73,286,Poor
Ahmedabad,March,45.37,,23.56,72.21,30.3,23.56,49.33,461,Severe
